Timestamp,CPU Usage (%),Memory Usage (MB)
2024-09-25 23:20:54,0.0,104.43359375
2024-09-25 23:20:56,0.9625,53.58203125
2024-09-25 23:20:58,0.0,53.58203125
2024-09-25 23:21:00,0.29375,55.7265625
2024-09-25 23:21:02,0.19375,62.8203125
2024-09-25 23:21:04,0.29375,66.6875
2024-09-25 23:21:06,0.3875,72.66015625
2024-09-25 23:21:08,0.2875,74.48828125
2024-09-25 23:21:10,0.76875,76.0234375
2024-09-25 23:21:12,0.575,82.30078125
2024-09-25 23:21:14,0.09375,90.05078125
2024-09-25 23:21:16,0.2875,92.796875
2024-09-25 23:21:18,0.09375,94.09375
2024-09-25 23:21:20,0.09375,93.671875
2024-09-25 23:21:22,0.675,95.95703125
2024-09-25 23:21:24,0.19375,96.109375
2024-09-25 23:21:26,0.2875,93.62109375
2024-09-25 23:21:28,0.19375,94.3515625
2024-09-25 23:21:30,0.2875,96.4453125
2024-09-25 23:21:32,0.3875,95.27734375
2024-09-25 23:21:34,0.19375,95.59765625
2024-09-25 23:21:36,0.19375,96.89453125
2024-09-25 23:21:38,0.48125,97.00390625
2024-09-25 23:21:40,0.3875,96.5
2024-09-25 23:21:42,0.3875,96.64453125
2024-09-25 23:21:44,0.2875,96.7734375
2024-09-25 23:21:46,0.3875,94.71484375
2024-09-25 23:21:48,0.19375,94.9296875
2024-09-25 23:21:50,0.3875,94.9296875
2024-09-25 23:21:52,0.2875,95.06640625
2024-09-25 23:21:54,0.48125,95.66796875
2024-09-25 23:21:56,0.3875,95.7578125
2024-09-25 23:21:58,0.19375,95.91015625
2024-09-25 23:22:00,0.19375,95.33203125
2024-09-25 23:22:02,0.48125,95.33203125
2024-09-25 23:22:05,0.2875,95.8828125
2024-09-25 23:22:07,0.09375,95.8828125
2024-09-25 23:22:09,0.1,96.03515625
2024-09-25 23:22:11,0.2875,96.03515625
2024-09-25 23:22:13,0.19375,96.83203125
2024-09-25 23:22:15,0.29375,96.58203125
2024-09-25 23:22:17,0.19375,96.62109375
2024-09-25 23:22:19,0.09375,96.62109375
2024-09-25 23:22:21,0.48125,95.87109375
2024-09-25 23:22:23,0.0,95.87109375
2024-09-25 23:22:25,0.2875,95.95703125
2024-09-25 23:22:27,0.2875,96.5546875
2024-09-25 23:22:29,0.3875,96.91796875
2024-09-25 23:22:31,0.19375,96.91796875
2024-09-25 23:22:33,0.09375,97.0234375
2024-09-25 23:22:35,0.29375,96.3359375
2024-09-25 23:22:37,0.2875,96.38671875
2024-09-25 23:22:39,0.2875,96.38671875
2024-09-25 23:22:41,0.19375,96.38671875
2024-09-25 23:22:43,0.2875,96.13671875
2024-09-25 23:22:45,0.09375,96.13671875
2024-09-25 23:22:47,0.09375,96.55078125
2024-09-25 23:22:49,0.19375,95.62890625
2024-09-25 23:22:51,0.48125,95.62890625
2024-09-25 23:22:53,0.19375,95.62890625
2024-09-25 23:22:55,0.2875,95.91015625
2024-09-25 23:22:57,0.2875,96.18359375
2024-09-25 23:22:59,0.0,96.18359375
2024-09-25 23:23:01,0.0,96.18359375
