Timestamp,CPU Usage (%),Memory Usage (MB)
2024-09-25 22:49:27,0.0,102.7890625
2024-09-25 22:49:29,0.19375,58.578125
2024-09-25 22:49:31,0.0,58.578125
2024-09-25 22:49:33,2.7875,70.56640625
2024-09-25 22:49:35,1.95,82.859375
2024-09-25 22:49:37,1.5375,94.53125
2024-09-25 22:49:39,1.825,107.04296875
2024-09-25 22:49:41,1.34375,110.15625
2024-09-25 22:49:43,1.75625,111.26171875
2024-09-25 22:49:45,1.925,112.28515625
2024-09-25 22:49:47,1.25,113.54296875
2024-09-25 22:49:49,1.15625,112.796875
2024-09-25 22:49:51,1.25,113.984375
2024-09-25 22:49:53,1.6375,114.00390625
2024-09-25 22:49:55,1.26875,114.00390625
2024-09-25 22:49:57,1.34375,113.75390625
2024-09-25 22:49:59,2.1125,113.49609375
2024-09-25 22:50:01,1.175,113.98046875
2024-09-25 22:50:03,1.5375,113.98046875
2024-09-25 22:50:05,1.4625,113.99609375
2024-09-25 22:50:07,1.5375,113.99609375
2024-09-25 22:50:09,1.73125,114.01171875
2024-09-25 22:50:11,0.48125,114.01171875
2024-09-25 22:50:13,0.2875,114.01171875
2024-09-25 22:50:15,0.675,107.88671875
2024-09-25 22:50:17,0.86875,108.38671875
2024-09-25 22:50:19,0.8625,103.94140625
2024-09-25 22:50:21,1.825,104.6328125
2024-09-25 22:50:23,1.175,106.0546875
2024-09-25 22:50:25,0.88125,106.0546875
2024-09-25 22:50:27,0.2875,106.0546875
2024-09-25 22:50:29,1.63125,104.421875
2024-09-25 22:50:31,1.25,102.95703125
2024-09-25 22:50:33,1.05625,103.62109375
2024-09-25 22:50:35,0.3875,105.31640625
2024-09-25 22:50:37,0.78125,107.56640625
2024-09-25 22:50:40,2.01875,107.23046875
2024-09-25 22:50:42,1.075,107.27734375
2024-09-25 22:50:44,1.34375,107.2890625
2024-09-25 22:50:46,0.4875,107.33203125
2024-09-25 22:50:48,0.76875,107.33203125
2024-09-25 22:50:50,0.2875,108.54296875
2024-09-25 22:50:52,0.4875,107.54296875
2024-09-25 22:50:54,0.48125,107.54296875
2024-09-25 22:50:56,1.6625,105.43359375
2024-09-25 22:50:58,0.9625,105.43359375
2024-09-25 22:51:00,1.36875,106.36328125
2024-09-25 22:51:02,0.9625,106.36328125
2024-09-25 22:51:04,0.09375,106.36328125
2024-09-25 22:51:06,0.4875,107.9765625
2024-09-25 22:51:08,0.68125,108.046875
2024-09-25 22:51:10,1.05625,102.95703125
2024-09-25 22:51:12,1.05625,104.359375
2024-09-25 22:51:14,0.9625,104.9921875
2024-09-25 22:51:16,1.05625,106.40625
2024-09-25 22:51:18,0.09375,107.3828125
2024-09-25 22:51:20,0.2875,107.3828125
2024-09-25 22:51:22,0.575,107.3828125
2024-09-25 22:51:24,0.76875,104.05078125
2024-09-25 22:51:26,1.44375,105.41015625
2024-09-25 22:51:28,0.76875,104.6640625
2024-09-25 22:51:30,1.63125,108.84375
2024-09-25 22:51:32,0.48125,108.84375
2024-09-25 22:51:34,0.0,108.84375
